frame,frame_difference,global_motion,face_motion,head_motion,upper_body_motion,arm_motion,mouth_motion,motion_intensity
0,0,0,0,0,0,0,0,0
1,0.0074021109669357935,0.3031303882598877,0.4566642642021179,0.3927191197872162,0.24653373658657074,0.2716464549303055,0.4357650876045227,0.32988311007618903
2,0.0060201004421376395,0.32979413866996765,0.7108165621757507,0.5127262473106384,0.2627412676811218,0.2455715388059616,0.8477417230606079,0.4268319447338581
3,0.007772521386005382,0.4096311032772064,1.2311077117919922,0.8352901339530945,0.30131641030311584,0.21468304097652435,1.5021218061447144,0.6272816510498523
4,0.008616577758554402,0.47063586115837097,1.2548844814300537,0.8769465088844299,0.3218117952346802,0.23358479887247086,1.5301988124847412,0.6640609533339739
5,0.005704386534025375,0.2882586717605591,0.7701279520988464,0.503650426864624,0.1855977326631546,0.1523660123348236,0.9083272218704224,0.39353617191314694
6,0.005123600297962321,0.25005772709846497,0.49797651171684265,0.3408099412918091,0.172252357006073,0.1523498222231865,0.4708065092563629,0.2752427875250578
7,0.004906586409073433,0.23662608861923218,0.5080180168151855,0.3657946288585663,0.15213337540626526,0.12813102826476097,0.5636826157569885,0.28432385411113503
8,0.004389597750865052,0.2056940495967865,0.411906361579895,0.3042309284210205,0.15234848856925964,0.11182743310928345,0.4605632424354553,0.24299912244081495
9,0.004986633746635909,0.20032572746276855,0.2072925716638565,0.18805450201034546,0.1362256109714508,0.15183784067630768,0.10873005539178848,0.16373760856688022
10,0.004292429594386774,0.17796960473060608,0.225888192653656,0.19648601114749908,0.16116522252559662,0.16547001525759697,0.28012919425964355,0.19277292575687172
11,0.005244106833910034,0.24665284156799316,0.5725619792938232,0.37536314129829407,0.14689970016479492,0.14147097617387772,0.692895770072937,0.30993037320673467
12,0.006596891820453672,0.29519134759902954,0.8022485971450806,0.5181760191917419,0.1791149228811264,0.1497323364019394,1.0165573358535767,0.4135206253826618
13,0.004651606353325645,0.19027279317378998,0.5896647572517395,0.3647129237651825,0.15202288329601288,0.10194181278347969,0.8573713898658752,0.31204636488109827
14,0.008657637687427912,0.36851897835731506,0.40298938751220703,0.37941575050354004,0.1420210599899292,0.18640979379415512,0.1829577386379242,0.271680798754096
15,0.00496969314686659,0.19182223081588745,0.24703051149845123,0.20963452756404877,0.11949945241212845,0.137959323823452,0.28390049934387207,0.18791225098073483
16,0.005321150519031142,0.23865167796611786,0.4273536801338196,0.28787389397621155,0.1284211277961731,0.15120429545640945,0.4661790132522583,0.25037877820432186
17,0.006762543252595155,0.2810078263282776,0.5843597054481506,0.4152300953865051,0.17179027199745178,0.16334673017263412,0.6351426243782043,0.3280220671743155
18,0.004794279844290658,0.19957235455513,0.3950725793838501,0.28921568393707275,0.12961192429065704,0.13084879517555237,0.4223784804344177,0.23112822324037552
19,0.003229016484044598,0.12860538065433502,0.1878243386745453,0.14233578741550446,0.10171300172805786,0.12526357918977737,0.23189561069011688,0.14212278239428996
20,0.003389471597462514,0.11430279165506363,0.13958336412906647,0.11281581968069077,0.08726510405540466,0.11117356270551682,0.14920088648796082,0.11376701019704342
21,0.00433655324875048,0.16564826667308807,0.2572405934333801,0.19463419914245605,0.12377805262804031,0.13391698896884918,0.2526904344558716,0.1730201192200184
22,0.005445802095347943,0.22626250982284546,0.34848499298095703,0.27755042910575867,0.12048958986997604,0.1593319997191429,0.2918989360332489,0.21851264126598835
23,0.005273482554786621,0.19211368262767792,0.309831827878952,0.25391870737075806,0.08975475281476974,0.1234724260866642,0.1733597218990326,0.17465822372585535
24,0.003606095011534025,0.12536753714084625,0.19017642736434937,0.13244923949241638,0.08376787602901459,0.11655087023973465,0.18067055940628052,0.12644664369523526
25,0.008439872885428681,0.374114990234375,0.6020072102546692,0.43768027424812317,0.13153384625911713,0.17081814259290695,0.49149221181869507,0.3293878244608641
26,0.004671009948096886,0.21067526936531067,0.3939875662326813,0.2716171443462372,0.10686172544956207,0.11748726293444633,0.4775780141353607,0.23141775082796812
27,0.0033949382449058054,0.13476480543613434,0.19493481516838074,0.14028573036193848,0.06948379427194595,0.09629158303141594,0.15403532981872559,0.12074458550661801
28,0.0038784361783929257,0.12535901367664337,0.17006170749664307,0.1422063112258911,0.08668864518404007,0.10232872515916824,0.144267737865448,0.12153133131563662
29,0.003544820501730104,0.12834613025188446,0.2514834702014923,0.1627098172903061,0.09316636621952057,0.11212583258748055,0.4749491810798645,0.1798377015069127
30,0.004430747789311803,0.19644103944301605,0.49880337715148926,0.3110668659210205,0.1168539822101593,0.09682989120483398,0.9128706455230713,0.30130237147212025
31,0.003612552864282968,0.14080840349197388,0.2938639521598816,0.20652493834495544,0.11092228442430496,0.0866495631635189,0.3313548266887665,0.1712329963967204
32,0.0034633914840445984,0.1497093290090561,0.24765463173389435,0.17634132504463196,0.10062088072299957,0.10252227261662483,0.3400859832763672,0.16806610587984325
33,0.003479731353325644,0.1271437257528305,0.16304007172584534,0.12903106212615967,0.07809988409280777,0.08381915092468262,0.2111082673072815,0.1240171718597412
34,0.002693495290272972,0.09600112587213516,0.10987748950719833,0.09063401073217392,0.08068952709436417,0.10068461112678051,0.1537427008152008,0.10136068804189563
35,0.003629944011918493,0.1390557438135147,0.2305745929479599,0.16218627989292145,0.08072707056999207,0.09987644106149673,0.1903441995382309,0.1353720035403967
36,0.003609188773548635,0.12585343420505524,0.205557182431221,0.15145249664783478,0.07873444259166718,0.08312349580228329,0.16723476350307465,0.12271489119157195
